"Program","Project","Processes","TimeStamp(HH:mm:ss)","CPU(%)","RAM(MB)"
"Eclipse","Cake","1","17:04:29","0","1257.16"
"Eclipse","Cake","1","17:04:30","0","1257.2"
"Eclipse","Cake","1","17:04:31","0.34","1267.19"
"Eclipse","Cake","1","17:04:32","0","1267.22"
"Eclipse","Cake","1","17:04:33","0","1267.25"
"Eclipse","Cake","1","17:04:35","0","1253.07"
"Eclipse","Cake","1","17:04:36","0","1253.09"
"Eclipse","Cake","1","17:04:37","0","1253.12"
"Eclipse","Cake","1","17:04:38","0","1253.17"
"Eclipse","Cake","1","17:04:39","0","1253.2"
"Eclipse","Cake","1","17:04:40","0","1253.23"
"Eclipse","Cake","1","17:04:41","0","1253.26"
"Eclipse","Cake","1","17:04:43","0","1253.29"
"Eclipse","Cake","1","17:04:44","0","1253.33"
"Eclipse","Cake","1","17:04:45","0","1253.36"
"Eclipse","Cake","1","17:04:46","0","1253.39"
"Eclipse","Cake","1","17:04:47","0","1253.42"
"Eclipse","Cake","1","17:04:48","0","1253.45"
"Eclipse","Cake","1","17:04:49","0","1253.48"
"Eclipse","Cake","1","17:04:51","0","1253.52"
"Eclipse","Cake","1","17:04:52","0","1253.54"
"Eclipse","Cake","1","17:04:53","0","1253.58"
"Eclipse","Cake","1","17:04:54","0","1253.61"
"Eclipse","Cake","1","17:04:55","0","1253.65"
"Eclipse","Cake","1","17:04:56","0","1253.69"
"Eclipse","Cake","1","17:04:57","0","1253.72"
"Eclipse","Cake","1","17:04:59","0","1253.75"
"Eclipse","Cake","1","17:05:00","0","1253.78"
"Eclipse","Cake","1","17:05:01","0","1253.81"
"Eclipse","Cake","1","17:05:02","0","1253.84"
"Eclipse","Mindustry","1","17:07:14","0","1493.78"
"Eclipse","Mindustry","1","17:07:15","0","1493.78"
"Eclipse","Mindustry","1","17:07:16","0","1493.78"
"Eclipse","Mindustry","1","17:07:17","0","1493.78"
"Eclipse","Mindustry","1","17:07:18","0","1493.78"
"Eclipse","Mindustry","1","17:07:19","0","1493.88"
"Eclipse","Mindustry","1","17:07:21","0","1493.88"
"Eclipse","Mindustry","1","17:07:22","0","1493.82"
"Eclipse","Mindustry","1","17:07:23","0","1493.87"
"Eclipse","Mindustry","1","17:07:24","0","1493.87"
"Eclipse","Mindustry","1","17:07:25","0","1493.88"
"Eclipse","Mindustry","1","17:07:26","0.17","1495.46"
