Program, Project, StartupTime(ms)
VSCode, Cake, 1934
VSCode, Cake, 1756
VSCode, Cake, 2220
VSCode, Cake, 1605
VSCode, Cake, 1724
VSCode, Cake, 1655
VSCode, Cake, 1621
VSCode, Cake, 1615
VSCode, Cake, 1696
VSCode, Cake, 1634
VSCode, Cake, 1724
VSCode, Cake, 1724
VSCode, Cake, 1934
VSCode, Cake, 1696
VSCode, Cake, 1756
VSCode, Cake, 1615
VSCode, Cake, 2220
VSCode, Cake, 1634
VSCode, Cake, 1615
VSCode, Cake, 1621
VSCode, Cake, 2220
VSCode, Cake, 1621
VSCode, Cake, 1634
VSCode, Cake, 1605
VSCode, Cake, 1756
VSCode, Cake, 1696
VSCode, Cake, 1655
VSCode, Cake, 1934
VSCode, Cake, 1655
VSCode, Cake, 1605
