Program, Project, StartupTime(ms)
VSCode, Mindustry, 2274
VSCode, Mindustry, 2308
VSCode, Mindustry, 2524
VSCode, Mindustry, 2227
VSCode, Mindustry, 2422
VSCode, Mindustry, 2202
VSCode, Mindustry, 2364
VSCode, Mindustry, 2248
VSCode, Mindustry, 2243
VSCode, Mindustry, 2263
VSCode, Mindustry, 2524
VSCode, Mindustry, 2263
VSCode, Mindustry, 2227
VSCode, Mindustry, 2202
VSCode, Mindustry, 2243
VSCode, Mindustry, 2243
VSCode, Mindustry, 2308
VSCode, Mindustry, 2422
VSCode, Mindustry, 2274
VSCode, Mindustry, 2248
VSCode, Mindustry, 2274
VSCode, Mindustry, 2263
VSCode, Mindustry, 2524
VSCode, Mindustry, 2227
VSCode, Mindustry, 2364
VSCode, Mindustry, 2422
VSCode, Mindustry, 2364
VSCode, Mindustry, 2248
VSCode, Mindustry, 2202
VSCode, Mindustry, 2308
